LEVEL,HGHT,TEMP,DWPT,WDIR,WSPD
991.0,218.9,21.9,15.26,75.6,13.61
990.4,223.1,21.8,15.24,46.9,12.05
990.0,227.6,21.7,15.19,36.6,22.16
989.2,232.5,21.7,15.21,60.1,24.49
988.8,238.7,21.7,15.24,75.9,22.94
988.2,245.7,21.7,15.26,56.6,20.22
987.6,251.8,21.6,15.23,59.0,23.71
986.7,256.2,21.6,15.26,74.6,25.66
986.2,260.5,21.5,15.21,79.6,21.19
985.5,266.3,21.5,15.25,74.1,16.72
985.0,271.1,21.5,15.28,75.1,16.13
984.4,275.0,21.4,15.2,82.2,15.75
984.1,279.8,21.4,15.27,81.6,14.38
983.5,284.4,21.3,15.18,57.3,13.22
983.0,288.5,21.3,15.2,49.1,19.63
982.3,292.3,21.2,15.15,52.1,22.55
981.9,296.6,21.2,15.15,61.7,27.99
981.3,301.3,21.2,15.13,73.3,28.77
980.8,305.2,21.1,15.06,81.9,29.94
980.4,308.5,21.1,15.1,86.7,26.24
979.9,313.0,21.1,15.08,90.7,22.55
979.1,319.0,21.1,15.06,86.9,16.33
978.4,324.7,21.0,15.03,73.1,17.11
978.0,329.6,21.0,15.1,61.5,20.41
977.4,333.7,20.9,15.02,61.2,23.33
977.1,338.2,20.9,15.05,64.1,26.05
976.3,343.3,20.9,15.09,66.8,27.8
975.7,348.9,20.8,15.06,70.6,27.8
974.9,355.2,20.8,15.06,72.3,25.85
974.5,360.9,20.7,15.01,75.3,20.41
974.0,364.6,20.7,15.05,78.5,16.52
973.5,368.1,20.6,14.94,80.6,13.8
973.4,371.7,20.6,14.98,83.8,12.05
972.5,375.3,20.6,14.96,60.7,13.61
972.1,380.2,20.5,14.84,59.0,16.13
971.6,385.0,20.5,14.91,51.9,18.86
971.1,389.3,20.5,14.82,50.4,21.97
970.4,394.2,20.4,14.66,53.7,24.69
969.9,399.5,20.4,14.75,63.2,25.27
969.4,404.2,20.4,14.61,74.5,24.88
969.0,409.3,20.3,14.63,84.2,23.33
968.4,414.8,20.3,14.65,90.2,20.22
968.0,419.6,20.2,14.66,81.6,16.33
967.4,423.5,20.2,14.64,65.5,12.63
967.1,427.8,20.1,14.59,55.4,14.38
966.5,432.3,20.1,14.63,46.2,17.3
966.2,435.8,20.1,14.57,44.4,19.83
965.6,439.1,20.0,14.52,47.9,19.44
965.2,443.5,20.0,14.49,48.4,21.77
964.6,447.8,20.0,14.45,53.9,23.13
964.0,452.8,20.0,14.3,60.2,23.91
963.4,459.0,19.9,14.29,71.2,23.91
962.9,464.1,19.9,14.27,79.5,21.77
962.0,469.4,19.8,14.28,86.4,18.66
961.5,474.8,19.8,14.13,84.8,17.11
960.9,480.1,19.8,13.75,69.7,16.52
960.4,485.3,19.8,13.75,54.8,17.49
960.0,490.0,19.7,13.58,44.9,18.08
959.6,494.6,19.7,13.35,42.1,18.27
959.2,499.0,19.7,13.4,33.9,19.44
958.4,503.6,19.7,13.42,39.2,18.08
957.8,508.9,19.6,13.35,35.5,17.69
957.2,514.0,19.6,13.35,42.7,10.69
956.8,519.6,19.5,13.64,70.6,13.22
955.9,526.0,19.4,13.52,96.5,14.58
955.3,533.0,19.4,13.34,98.1,15.55
954.8,538.4,19.3,13.36,78.5,14.77
954.2,543.3,19.3,13.49,79.0,20.22
953.5,548.1,19.2,13.4,68.6,17.69
953.2,551.9,19.2,13.51,51.6,18.66
952.7,555.1,19.1,13.57,53.7,23.71
952.4,558.9,19.1,13.61,63.8,25.08
952.0,563.2,19.0,13.58,59.1,19.83
951.5,566.8,19.0,13.62,59.8,16.52
951.1,570.4,19.0,13.07,47.9,16.13
950.6,575.2,19.0,12.92,52.4,14.0
949.9,580.1,19.0,12.69,58.2,13.22
949.5,585.2,19.0,12.48,73.8,11.08
949.0,590.4,18.9,12.84,99.4,12.05
948.5,595.2,18.9,12.68,101.5,14.19
947.7,601.2,18.8,12.38,110.7,15.36
946.9,607.8,18.8,12.36,104.9,15.55
946.2,614.8,18.7,12.36,93.8,17.11
945.8,620.4,18.7,12.47,82.6,16.13
945.3,624.3,18.6,12.42,73.7,17.11
944.4,629.3,18.6,12.35,62.3,18.86
943.8,635.8,18.6,12.38,59.5,18.27
943.1,641.9,18.5,12.39,72.5,17.11
942.6,647.5,18.4,12.32,84.0,16.52
942.0,653.0,18.4,12.12,107.1,16.13
941.4,657.9,18.4,12.07,115.1,16.91
941.0,662.1,18.4,11.98,108.6,19.05
940.6,665.2,18.3,11.95,92.5,19.05
940.1,668.8,18.3,11.82,86.4,20.8
939.6,674.2,18.3,11.84,79.3,23.52
938.9,679.8,18.2,11.84,81.8,21.97
938.5,684.8,18.1,12.01,85.0,23.33
938.0,689.2,18.1,12.08,92.0,23.33
937.6,693.5,18.1,11.92,97.4,22.74
937.0,698.1,18.0,11.87,103.4,23.52
936.5,702.8,18.0,11.89,108.9,21.97
936.2,707.4,17.9,11.89,103.4,22.74
935.8,711.7,17.9,11.87,105.8,23.33
935.2,716.0,17.9,11.91,91.3,22.35
934.5,720.7,17.8,11.86,90.6,25.27
934.0,725.2,17.8,11.86,83.0,23.71
933.5,730.2,17.7,11.83,79.6,18.66
933.2,734.2,17.7,11.87,70.0,15.75
932.7,737.1,17.6,11.8,68.0,20.41
932.3,740.6,17.6,11.78,67.6,20.22
931.8,744.7,17.5,11.77,71.5,19.44
931.1,749.4,17.5,11.79,67.9,15.55
930.5,754.6,17.5,11.82,69.6,12.25
930.0,759.4,17.4,11.76,91.0,10.89
929.4,763.9,17.4,11.76,101.9,12.63
929.0,768.8,17.3,11.69,114.4,16.13
928.7,773.6,17.3,11.75,110.6,19.44
928.0,778.9,17.2,11.7,101.6,24.3
927.4,784.8,17.2,11.66,98.7,26.82
926.9,790.5,17.1,11.65,89.2,26.44
926.3,796.3,17.1,11.58,81.7,25.08
925.7,801.5,17.1,11.52,74.8,21.97
925.2,807.2,17.0,11.58,70.5,19.24
924.5,813.4,17.0,11.68,72.5,17.3
923.9,818.3,16.9,11.67,82.9,16.52
923.5,822.9,16.8,11.58,94.0,17.88
922.9,827.7,16.8,11.62,108.8,21.38
922.5,831.9,16.8,11.55,114.7,20.6
921.7,836.6,16.7,11.48,101.1,24.1
921.6,840.6,16.7,11.54,95.3,26.82
921.0,845.2,16.7,11.54,92.9,26.82
920.3,851.5,16.6,11.49,82.2,22.55
919.9,856.1,16.6,11.51,72.4,22.16
919.2,859.8,16.5,11.43,80.9,20.8
918.7,864.6,16.5,11.43,87.7,17.3
918.2,869.5,16.5,11.52,99.0,18.08
917.8,873.9,16.4,11.4,106.7,19.44
917.4,878.0,16.4,11.46,101.8,19.83
917.0,882.0,16.3,11.35,104.4,20.6
916.5,887.2,16.3,11.33,107.0,20.6
915.9,892.5,16.3,11.35,108.5,20.99
915.3,899.1,16.2,11.33,89.9,25.66
914.6,906.8,16.2,11.31,83.0,32.27
913.6,914.3,16.1,11.28,91.1,25.27
913.0,921.1,16.0,11.29,84.6,19.83
912.3,929.6,16.0,11.37,83.7,24.1
912.0,933.6,15.9,11.31,79.3,21.38
911.4,937.2,15.9,11.31,84.0,18.66
911.1,941.1,15.9,11.25,82.5,14.77
910.3,945.7,15.8,11.22,84.8,14.97
909.9,950.0,15.8,11.24,76.7,14.38
909.6,954.8,15.7,11.18,80.0,15.75
909.1,960.2,15.7,11.2,77.6,19.24
908.3,965.2,15.6,11.18,78.4,25.08
907.8,969.9,15.6,11.2,81.4,26.63
907.3,974.0,15.5,11.17,88.8,28.38
907.0,978.4,15.5,11.15,93.4,28.96
906.3,984.1,15.5,11.17,94.5,29.16
905.5,991.1,15.4,11.13,100.9,27.8
904.9,998.1,15.3,11.13,104.1,23.33
904.5,1003.3,15.3,11.17,105.1,19.24
903.9,1007.7,15.2,11.12,100.2,15.16
903.4,1012.1,15.2,11.12,98.3,13.02
902.9,1017.8,15.2,11.17,81.6,13.22
902.2,1024.1,15.1,11.12,71.6,16.52
901.5,1029.9,15.0,11.08,77.1,18.27
901.0,1034.5,15.0,11.14,83.4,21.77
900.4,1038.5,14.9,11.06,80.2,23.71
900.0,1043.0,14.9,11.06,82.7,28.19
899.5,1047.6,14.8,10.96,81.9,31.1
899.1,1052.1,14.8,11.1,79.4,28.38
898.5,1057.1,14.7,11.0,75.5,27.41
898.0,1062.7,14.7,11.06,72.4,22.35
897.4,1067.8,14.6,10.98,74.7,18.66
897.0,1071.8,14.6,11.04,82.4,14.97
896.4,1075.7,14.6,10.98,104.3,12.05
896.0,1080.5,14.5,10.96,106.2,17.49
895.5,1085.0,14.5,10.98,109.7,20.41
894.9,1090.0,14.4,10.9,105.5,25.46
894.4,1094.7,14.4,10.94,100.6,30.13
893.9,1098.7,14.3,10.91,94.1,28.57
893.6,1102.7,14.3,10.99,82.8,28.96
893.0,1105.9,14.3,10.93,77.8,30.91
892.8,1109.6,14.2,10.89,74.6,29.74
892.0,1114.7,14.2,10.95,71.3,26.63
891.5,1120.5,14.1,10.94,72.9,20.99
890.8,1125.5,14.1,11.0,83.0,19.24
890.6,1129.9,14.0,10.92,90.3,14.97
890.1,1134.0,14.0,10.94,106.8,15.55
889.5,1138.4,13.9,10.84,113.6,17.3
889.1,1142.7,13.9,10.88,111.7,20.41
888.6,1147.2,13.9,10.9,104.7,26.63
888.2,1151.9,13.8,10.83,97.0,28.19
887.7,1156.1,13.8,10.91,92.1,29.74
887.1,1160.4,13.7,10.81,81.7,31.3
886.8,1165.7,13.7,10.88,76.8,27.02
885.9,1171.6,13.6,10.77,66.5,26.44
885.4,1177.1,13.6,10.88,64.8,20.8
885.0,1181.7,13.5,10.87,86.3,18.86
884.5,1186.1,13.5,10.87,103.3,19.44
884.0,1190.7,13.4,10.77,108.2,22.35
883.6,1195.1,13.4,10.8,110.0,22.35
883.2,1199.4,13.3,10.74,112.6,24.49
882.7,1204.3,13.3,10.76,107.0,26.24
882.2,1209.6,13.2,10.7,104.8,28.96
881.6,1214.4,13.2,10.73,99.8,28.57
881.1,1219.5,13.2,10.75,95.1,31.3
880.4,1226.0,13.1,10.67,89.9,28.57
879.9,1232.6,13.0,10.68,88.0,31.68
879.0,1238.0,13.0,10.78,87.4,26.82
878.6,1242.8,12.9,10.7,80.8,25.66
878.2,1247.9,12.9,10.72,68.3,23.13
877.7,1253.4,12.8,10.6,66.6,19.44
877.2,1258.9,12.8,10.64,71.0,18.66
876.5,1264.1,12.7,10.68,77.2,18.47
876.0,1268.6,12.7,10.71,88.8,18.08
875.4,1273.5,12.7,10.71,102.8,22.35
874.9,1278.9,12.6,10.6,105.4,25.08
874.4,1285.1,12.5,10.51,106.7,27.99
873.9,1290.6,12.5,10.6,99.9,29.55
873.5,1295.2,12.5,10.6,90.3,31.1
873.0,1300.3,12.4,10.59,86.4,28.19
872.5,1305.7,12.4,10.62,76.5,28.57
871.9,1310.8,12.3,10.54,71.8,23.71
871.6,1315.1,12.3,10.57,66.3,20.02
871.1,1319.3,12.2,10.47,73.6,18.08
870.8,1324.3,12.2,10.51,86.1,14.77
869.9,1329.4,12.2,10.54,97.3,16.13
869.4,1334.4,12.1,10.51,107.0,19.05
868.9,1339.7,12.1,10.51,112.5,24.1
868.5,1345.1,12.0,10.43,105.5,28.38
868.0,1350.6,12.0,10.48,95.4,29.16
867.3,1356.0,11.9,10.49,89.7,26.44
866.7,1360.8,11.9,10.46,85.9,26.63
866.4,1365.4,11.8,10.43,76.8,24.3
865.7,1370.1,11.8,10.44,73.5,19.83
865.4,1374.1,11.7,10.38,76.2,15.94
864.9,1379.1,11.7,10.36,91.6,15.16
864.2,1385.0,11.6,10.28,98.7,17.3
863.6,1389.6,11.6,10.31,106.5,18.86
863.1,1392.9,11.5,10.1,109.4,25.08
862.7,1396.7,11.5,9.98,105.7,29.16
862.2,1401.4,11.5,10.11,100.6,29.94
861.7,1405.8,11.4,9.4,92.6,28.77
861.3,1410.3,11.5,9.43,81.3,28.38
860.7,1415.3,11.5,9.39,80.0,24.3
860.3,1420.8,11.4,9.36,84.0,22.74
859.6,1426.4,11.4,8.74,91.3,20.41
858.8,1432.5,11.4,8.6,103.2,17.88
858.4,1437.9,11.4,8.44,114.7,19.24
857.9,1442.0,11.4,8.36,116.9,20.8
857.6,1445.8,11.4,8.09,120.3,23.13
857.4,1450.1,11.4,8.07,122.1,21.77
856.9,1454.4,11.4,8.18,126.2,18.27
856.4,1458.4,11.4,8.15,113.7,15.75
855.9,1462.9,11.3,8.03,104.8,13.61
855.5,1467.9,11.3,8.12,89.1,16.52
855.0,1472.8,11.3,8.1,74.2,20.02
854.8,1477.2,11.2,8.06,86.5,21.97
854.2,1481.7,11.2,8.08,87.1,25.85
853.7,1485.9,11.2,8.1,94.4,27.41
853.5,1489.9,11.1,8.0,101.1,28.96
853.1,1494.4,11.1,8.09,104.8,27.02
852.6,1499.4,11.0,7.99,113.4,24.3
852.0,1504.2,11.0,8.03,119.3,21.19
851.5,1508.5,10.9,7.97,117.8,17.88
851.0,1513.1,10.9,8.02,112.8,14.97
850.6,1517.5,10.8,7.97,99.3,14.97
850.4,1521.1,10.8,7.99,89.4,13.41
849.8,1525.3,10.8,7.99,81.5,15.55
849.1,1530.5,10.7,7.95,79.4,18.66
848.6,1536.9,10.7,7.98,83.5,20.41
847.9,1544.3,10.6,7.97,83.8,20.22
847.1,1551.0,10.6,7.96,92.6,19.24
846.4,1557.8,10.5,7.91,88.5,17.11
845.5,1566.0,10.5,7.86,98.0,16.72
845.1,1573.0,10.4,7.79,108.9,15.75
844.8,1577.8,10.4,7.9,114.1,16.52
844.2,1581.7,10.4,7.86,124.1,14.38
843.9,1585.3,10.3,7.77,128.6,15.16
843.5,1590.1,10.3,7.68,130.7,17.49
842.8,1595.8,10.2,7.65,119.8,19.83
842.2,1600.5,10.2,7.49,111.6,21.77
841.9,1604.8,10.2,7.51,107.5,25.46
841.5,1610.0,10.1,7.38,102.0,27.21
840.9,1615.6,10.1,7.4,97.7,27.02
840.3,1620.8,10.0,7.26,93.1,22.16
839.8,1625.4,10.0,7.37,96.1,18.47
839.3,1629.9,10.0,7.33,103.6,15.94
838.8,1633.9,10.0,7.33,109.1,14.38
838.4,1637.8,9.9,7.11,115.5,14.77
837.6,1643.3,9.9,7.2,124.3,18.08
837.2,1649.5,9.8,7.21,115.2,21.97
836.7,1654.6,9.8,7.24,106.2,21.97
836.3,1659.6,9.7,7.18,96.2,20.41
835.7,1664.7,9.7,7.04,87.6,19.05
835.0,1669.4,9.7,6.51,90.0,17.3
834.7,1673.9,9.9,6.34,96.9,15.16
834.1,1678.3,9.9,6.11,113.5,12.44
833.7,1682.5,10.0,5.94,127.3,16.91
833.3,1687.1,10.0,5.64,134.4,20.41
832.6,1692.4,10.1,5.32,128.2,21.19
832.0,1697.7,10.1,5.18,122.5,22.16
831.8,1702.8,10.2,5.19,110.1,21.77
831.2,1707.3,10.2,5.07,97.5,21.38
830.8,1711.6,10.2,5.03,83.6,22.35
830.3,1716.5,10.2,5.01,79.1,17.11
829.6,1722.3,10.2,5.23,70.1,12.83
829.3,1727.6,10.3,5.13,87.4,9.91
828.9,1732.1,10.5,4.52,125.0,7.78
828.3,1737.2,10.7,3.78,141.0,8.94
827.8,1741.9,11.0,2.58,141.9,10.69
827.4,1746.2,11.2,2.26,140.0,14.77
826.9,1750.9,11.2,2.07,138.1,17.11
826.6,1755.6,11.4,1.5,124.2,17.11
826.1,1761.4,11.7,-0.1,115.3,17.3
824.9,1774.1,11.9,-0.52,82.0,8.75
824.5,1780.2,12.3,-2.89,83.8,4.47
823.5,1789.9,13.5,-10.11,169.4,6.61
823.0,1793.9,13.8,-11.32,161.4,9.72
822.6,1797.9,14.1,-12.11,153.0,14.19
822.2,1803.3,14.2,-12.79,142.4,18.86
821.6,1809.2,14.3,-12.97,130.6,16.72
821.1,1814.5,14.3,-13.33,123.4,15.55
820.5,1818.6,14.4,-13.91,115.1,15.55
820.3,1822.4,14.5,-15.67,102.1,14.0
819.8,1826.4,14.6,-16.39,92.0,12.63
819.4,1829.9,14.6,-16.62,81.0,11.27
819.2,1834.4,14.6,-16.86,60.1,7.58
818.4,1839.5,14.6,-17.1,94.2,4.47
817.9,1844.5,14.6,-17.35,134.3,3.69
817.4,1850.4,14.6,-17.23,171.7,7.97
816.8,1856.6,14.5,-17.43,161.9,12.83
816.3,1861.5,14.5,-17.43,155.6,15.94
816.0,1865.5,14.4,-17.38,136.9,16.13
815.3,1869.9,14.4,-17.38,123.6,14.58
815.0,1874.3,14.4,-17.38,99.4,12.44
814.5,1878.7,14.3,-17.58,78.7,11.08
814.0,1883.2,14.3,-17.46,77.9,7.97
813.7,1887.4,14.3,-17.46,98.9,4.86
813.5,1891.2,14.3,-18.22,134.6,2.53
813.0,1895.8,14.3,-19.75,119.6,2.14
812.2,1900.4,14.3,-22.53,100.3,3.89
812.0,1904.8,14.4,-22.65,100.7,7.78
811.1,1913.6,14.3,-21.82,99.0,14.19
810.7,1919.2,14.3,-22.17,108.7,17.3
809.4,1931.8,14.3,-23.29,131.5,13.41
808.8,1937.2,14.3,-23.49,136.4,11.27
808.4,1941.2,14.3,-24.09,146.5,6.8
808.3,1944.7,14.3,-24.51,149.3,4.67
807.7,1949.4,14.3,-24.95,196.1,2.53
807.4,1954.5,14.3,-25.17,141.8,3.69
806.3,1964.7,14.3,-25.4,141.9,4.86
806.0,1968.7,14.3,-24.51,150.2,9.14
805.1,1977.5,14.2,-23.96,156.2,12.83
804.6,1982.2,14.2,-22.98,150.0,13.02
804.0,1987.0,14.2,-18.97,138.8,16.72
803.6,1992.4,14.2,-17.78,123.0,18.27
803.0,1996.9,14.2,-17.41,113.8,17.69
802.8,2001.4,14.1,-17.37,101.7,17.88
802.5,2006.8,14.1,-17.25,94.3,17.69
801.7,2013.6,14.1,-16.89,93.0,14.0
801.1,2020.5,14.0,-16.85,98.8,8.55
800.5,2026.3,14.0,-16.74,104.0,3.3
800.1,2031.0,13.9,-16.7,156.8,2.14
799.8,2036.9,13.9,-16.7,167.7,3.11
798.9,2044.4,13.9,-16.7,143.8,5.05
798.0,2051.4,13.8,-16.66,155.1,6.22
797.4,2057.4,13.7,-16.74,123.0,17.69
796.5,2067.6,13.6,-16.82,117.1,19.83
795.7,2075.9,13.6,-16.82,129.1,20.02
795.3,2084.5,13.5,-16.78,142.9,15.94
794.7,2091.7,13.5,-16.78,161.2,13.61
794.1,2098.1,13.4,-16.86,153.4,8.94
793.1,2109.8,13.3,-16.83,152.3,19.83
792.4,2114.8,13.3,-16.94,156.0,17.49
791.5,2122.3,13.3,-16.83,113.4,17.11
791.0,2127.4,13.2,-17.02,102.1,16.72
790.6,2131.9,13.2,-16.91,103.7,14.58
790.0,2136.4,13.2,-16.91,97.7,10.89
789.8,2141.1,13.1,-16.98,98.2,8.55
789.3,2145.8,13.1,-16.98,135.2,7.19
788.9,2150.4,13.0,-17.06,155.9,7.19
788.4,2155.3,13.0,-17.06,155.9,11.47
788.1,2160.4,13.0,-17.06,156.5,17.3
787.6,2164.8,12.9,-17.14,151.3,17.88
786.7,2173.9,12.9,-17.03,134.4,19.63
786.2,2178.8,12.8,-17.11,127.7,18.86
785.2,2189.7,12.7,-17.19,106.1,15.94
784.7,2195.4,12.7,-17.3,98.9,11.27
784.1,2201.2,12.7,-17.19,102.2,7.78
783.6,2205.4,12.6,-17.26,127.8,7.58
783.0,2209.6,12.6,-17.26,165.2,8.16
782.8,2214.6,12.5,-17.34,172.6,11.66
782.2,2220.3,12.5,-17.34,162.0,14.0
781.7,2226.7,12.4,-17.42,137.8,13.8
781.2,2231.6,12.4,-17.31,120.9,14.77
780.9,2236.1,12.4,-17.42,105.5,16.52
780.9,2241.1,12.3,-17.5,100.7,17.49
779.7,2246.8,12.3,-17.5,95.9,18.86
779.3,2253.6,12.2,-17.58,95.1,15.94
778.7,2260.1,12.2,-17.47,111.0,16.52
778.1,2265.8,12.1,-17.55,112.9,16.13
777.7,2271.8,12.1,-17.55,127.4,17.11
777.2,2277.6,12.1,-17.55,140.9,17.88
776.6,2283.0,12.0,-17.52,150.8,15.75
776.3,2287.8,12.0,-17.41,157.1,12.44
775.8,2291.9,11.9,-17.49,152.5,9.52
775.3,2296.4,11.9,-17.49,154.4,6.22
774.8,2301.1,11.9,-17.38,122.7,5.25
774.4,2305.7,11.8,-17.46,94.7,7.78
774.0,2310.8,11.8,-17.25,93.9,11.27
773.6,2316.3,11.8,-17.05,97.6,15.55
772.9,2321.6,11.7,-17.13,107.4,20.22
772.4,2327.6,11.7,-17.02,117.6,20.99
771.9,2332.9,11.6,-17.0,134.8,22.16
771.4,2337.2,11.6,-16.8,147.4,17.69
771.0,2341.2,11.5,-16.98,149.2,16.33
770.5,2346.2,11.5,-16.98,160.8,10.3
769.8,2351.0,11.5,-16.98,163.6,4.86
769.8,2355.6,11.4,-17.06,116.1,5.44
769.1,2360.3,11.4,-17.06,84.7,7.78
768.8,2364.7,11.4,-17.16,79.0,10.5
768.3,2369.6,11.4,-17.26,82.9,14.97
767.7,2375.6,11.3,-17.34,96.8,17.88
767.1,2381.9,11.3,-17.24,116.1,20.41
766.7,2388.4,11.3,-17.24,127.4,20.6
766.2,2392.8,11.2,-17.32,143.0,19.24
765.9,2397.0,11.2,-17.32,149.8,19.83
765.4,2401.9,11.1,-17.4,153.8,18.47
764.9,2406.7,11.1,-17.3,161.2,14.58
764.5,2411.6,11.0,-17.48,160.7,13.41
764.1,2416.8,11.0,-17.38,161.1,10.3
763.5,2423.4,11.0,-17.38,137.8,6.41
763.0,2430.0,10.9,-17.45,117.5,8.16
762.4,2436.5,10.9,-17.36,118.1,13.8
761.8,2443.6,10.8,-17.44,118.5,18.08
761.2,2450.2,10.8,-17.44,127.7,18.86
760.8,2455.6,10.7,-17.51,138.1,17.11
760.2,2460.4,10.7,-17.61,149.1,14.58
759.9,2464.8,10.7,-17.51,166.5,11.86
759.5,2469.2,10.6,-17.59,168.2,9.52
759.0,2473.7,10.6,-17.5,172.5,7.19
758.6,2477.9,10.6,-17.5,143.5,4.86
758.0,2482.6,10.5,-17.77,107.8,6.41
757.7,2487.9,10.5,-18.07,95.8,10.89
757.0,2492.6,10.5,-18.48,94.8,14.19
756.6,2498.0,10.5,-18.9,102.8,18.66
756.0,2504.0,10.4,-19.42,115.8,19.83
755.7,2509.3,10.4,-19.87,127.8,19.83
755.2,2514.0,10.4,-20.34,138.6,18.27
754.7,2518.6,10.4,-20.7,149.9,16.91
754.3,2524.1,10.4,-20.95,163.7,12.63
753.7,2530.8,10.3,-21.54,169.1,8.55
753.3,2537.4,10.3,-22.48,164.6,6.8
752.7,2544.3,10.3,-23.35,140.8,7.58
752.0,2551.3,10.3,-23.81,142.7,11.66
751.4,2557.2,10.3,-23.66,141.2,15.36
750.8,2562.6,10.2,-22.99,146.4,21.19
750.1,2569.1,10.2,-22.01,144.7,23.91
749.6,2576.3,10.2,-21.36,140.1,21.58
749.0,2582.3,10.1,-20.69,133.5,16.13
748.5,2587.1,10.1,-19.88,125.1,13.22
748.0,2590.9,10.0,-18.98,119.2,7.39
747.6,2594.8,10.0,-18.67,138.7,5.64
747.1,2600.1,9.9,-18.75,159.9,5.64
746.7,2606.6,9.9,-18.54,165.1,9.72
746.1,2613.3,9.8,-18.52,164.5,14.58
745.6,2620.1,9.8,-18.13,149.9,18.86
745.0,2625.8,9.7,-18.02,139.8,20.8
744.6,2630.8,9.7,-17.92,130.9,22.74
744.2,2635.9,9.6,-18.09,125.9,22.74
743.7,2640.8,9.6,-18.09,115.1,21.97
743.2,2645.2,9.5,-17.89,108.6,19.05
742.6,2650.8,9.5,-17.71,101.4,15.94
742.0,2656.9,9.5,-17.34,105.7,12.05
741.5,2662.6,9.4,-17.69,132.7,8.94
741.1,2668.7,9.4,-17.69,146.7,13.41
740.6,2674.9,9.4,-17.6,155.4,18.08
740.0,2680.3,9.3,-17.59,151.4,22.55
739.7,2685.9,9.3,-17.68,142.7,23.33
739.2,2691.4,9.3,-18.05,134.6,21.38
738.6,2697.6,9.3,-19.12,127.7,16.91
738.1,2703.9,9.3,-19.74,118.5,12.05
737.4,2709.1,9.3,-20.39,110.5,8.55
737.1,2713.6,9.3,-20.84,146.3,5.83
736.6,2719.3,9.3,-21.67,202.9,7.0
736.1,2725.5,9.3,-22.3,185.2,9.72
735.6,2731.0,9.3,-22.97,172.2,13.61
735.1,2735.8,9.3,-23.67,164.2,17.3
734.9,2740.3,9.3,-24.11,150.6,20.6
734.4,2745.9,9.3,-24.26,134.6,20.02
733.8,2752.0,9.2,-24.48,125.9,18.08
733.2,2757.2,9.2,-24.64,121.6,15.75
732.7,2762.3,9.2,-24.33,95.0,10.11
732.4,2768.1,9.3,-23.81,81.2,4.86
731.8,2773.2,9.3,-23.67,334.3,0.97
731.5,2777.8,9.3,-23.52,182.7,4.28
731.0,2782.6,9.2,-23.6,191.8,8.75
730.6,2787.6,9.2,-23.46,179.8,14.38
730.2,2792.6,9.2,-23.46,167.9,18.86
729.7,2797.3,9.1,-23.53,153.4,17.11
729.2,2801.7,9.1,-23.53,139.3,18.47
728.9,2805.9,9.1,-23.39,127.5,16.33
728.6,2810.4,9.1,-23.26,109.4,14.58
728.0,2816.9,9.1,-23.12,93.4,10.3
727.2,2824.2,9.1,-22.98,112.9,7.39
726.7,2829.9,9.1,-22.85,137.4,7.58
726.3,2834.2,9.0,-22.79,144.7,10.69
725.8,2838.5,9.0,-22.66,137.5,12.25
